DEBUG 2018-08-22 09:49:14,283 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:14,284 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:14,286 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:14,287 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:14,289 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:14,291 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:14,292 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:14,294 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:14,296 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:14,297 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:14,299 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:14,301 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:14,303 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
DEBUG 2018-08-22 09:49:14,305 D:\wz_xsqd\venv\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'rbac_detailinfo'; args=['rbac_detailinfo']
